Checklist_Name,Version,Release,STIG_ID,Vuln_ID,Severity,Rule_Title,Tool,Command_With_Config,Command_Without_Config,Requires_Elevation,Third_Party_Tools,Notes
Oracle Linux 8,v1,r7,OL08-00-030180,V-248519,medium,The OL 8 audit package must be installed.,Bash,bash checks/os/oracle_linux_8_v1r7/samples/V-248519.sh --config stig-config.json,bash checks/os/oracle_linux_8_v1r7/samples/V-248519.sh,No,None (uses native yum/rpm),Path: checks/os/oracle_linux_8_v1r7/samples/V-248519.sh
Oracle Linux 8,v1,r7,OL08-00-030180,V-248519,medium,The OL 8 audit package must be installed.,Python,python checks/os/oracle_linux_8_v1r7/samples/V-248519.py --config stig-config.json,python checks/os/oracle_linux_8_v1r7/samples/V-248519.py,No,None (uses Python stdlib),Path: checks/os/oracle_linux_8_v1r7/samples/V-248519.py
Oracle Linux 8,v1,r7,OL08-00-030181,V-248520,medium,"OL 8 audit records must contain information to establish what type of events occurred, the source of events, where events occurred, and the outcome of events.",Bash,bash checks/os/oracle_linux_8_v1r7/samples/V-248520.sh --config stig-config.json,bash checks/os/oracle_linux_8_v1r7/samples/V-248520.sh,No,None (uses systemctl),Path: checks/os/oracle_linux_8_v1r7/samples/V-248520.sh
Oracle Linux 8,v1,r7,OL08-00-030181,V-248520,medium,"OL 8 audit records must contain information to establish what type of events occurred, the source of events, where events occurred, and the outcome of events.",Python,python checks/os/oracle_linux_8_v1r7/samples/V-248520.py --config stig-config.json,python checks/os/oracle_linux_8_v1r7/samples/V-248520.py,No,None (uses Python stdlib),Path: checks/os/oracle_linux_8_v1r7/samples/V-248520.py
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000009,V-235928,medium,Oracle WebLogic must utilize cryptography to protect the confidentiality of remote access management sessions.,Python,python checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235928.py --config stig-config.json,python checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235928.py,Yes,Unknown,Path: checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235928.py
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000009,V-235928,medium,Oracle WebLogic must utilize cryptography to protect the,Bash,bash checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.sh --config stig-config.json,bash checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.sh,Yes,"None (uses bash, grep, xml parsing)",Path: checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.sh
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000009,V-235928,medium,Oracle WebLogic must utilize cryptography to protect the confidentiality of remote access management sessions.,Python,python checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.py --config stig-config.json,python checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.py,Yes,None (uses Python stdlib - xml.etree.ElementTree),Path: checks/application/oracle_weblogic_server_12c_v2r1_test3/V-235928.py
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000009,V-235928,medium,Oracle WebLogic must utilize cryptography to protect the confidentiality of remote access management sessions.,Python,python checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235928.py --config stig-config.json,python checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235928.py,Yes,Unknown,Path: checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235928.py
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000013,V-235931,medium,Oracle WebLogic must ensure remote sessions for accessing security functions and security-relevant information are audited.,Python,python checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235931.py --config stig-config.json,python checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235931.py,Yes,Unknown,Path: checks/application/oracle_weblogic_server_12c_v2r1_test2/V-235931.py
Oracle Weblogic Server 12C,Unknown,Unknown,WBLC-01-000013,V-235931,medium,Oracle WebLogic must ensure remote sessions for accessing security functions and security-relevant information are audited.,Python,python checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235931.py --config stig-config.json,python checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235931.py,Yes,Unknown,Path: checks/application/oracle_weblogic_server_12c_v2r1_test1/V-235931.py
